ax,ay,az,qx,qy,qz,qw,ts
1.790127,-0.285402,0.137154,0.061829,0.567761,-0.532788,0.624469,483503394.874262
1.840411,-0.609444,0.524271,0.046574,0.563016,-0.549935,0.615155,483503394.874633
1.612204,-0.633135,-0.256556,0.031844,0.559145,-0.562152,0.608546,483503394.890220
1.767043,-0.960621,0.153558,0.016032,0.551790,-0.572199,0.606514,483503394.906578
1.472501,-0.915120,0.596563,-0.001298,0.547923,-0.576213,0.606430,483503394.907219
1.289088,-0.657132,0.016961,-0.020062,0.544930,-0.577329,0.607734,483503394.922012
1.244891,-0.611793,-0.103936,-0.038208,0.541563,-0.576216,0.610921,483503394.938349
0.968151,-0.679334,-0.074359,-0.054813,0.537882,-0.573683,0.615277,483503394.939297
0.614152,-0.724087,0.207126,-0.070427,0.535453,-0.569863,0.619343,483503394.953587
0.432448,-0.557633,0.220634,-0.084706,0.534158,-0.565541,0.622627,483503394.969269
0.007184,-0.471186,0.260308,-0.097075,0.533938,-0.561831,0.624365,483503394.969655
-0.116234,-0.525874,0.278353,-0.106970,0.535321,-0.558995,0.624110,483503394.984384
-0.175506,-0.508711,0.217260,-0.113703,0.538851,-0.556793,0.621846,483503395.000091
-0.276060,-0.534315,0.117935,-0.117331,0.544047,-0.555129,0.618125,483503395.000356
-0.276314,-0.446661,-0.043821,-0.118494,0.550036,-0.554002,0.613597,483503395.016049
-0.282674,-0.352328,-0.174657,-0.117783,0.555821,-0.553571,0.608892,483503395.031577
-0.285454,-0.395851,-0.115173,-0.116634,0.561217,-0.553506,0.604205,483503395.031854
-0.272973,-0.425298,0.007345,-0.116734,0.566417,-0.553164,0.599629,483503395.047270
-0.250019,-0.372327,0.068463,-0.119483,0.571108,-0.552348,0.595375,483503395.063144
-0.240093,-0.290190,0.173472,-0.125240,0.575370,-0.550942,0.591378,483503395.063379
-0.179383,-0.364476,0.195211,-0.133522,0.579258,-0.548778,0.587771,483503395.079275
-0.087204,-0.364331,0.212746,-0.143014,0.583286,-0.545782,0.584334,483503395.095435
-0.051498,-0.285042,0.124819,-0.151686,0.588147,-0.542288,0.580515,483503395.095871
0.009205,-0.051048,-0.016690,-0.157703,0.594277,-0.539340,0.575393,483503395.111101
0.017510,0.020990,-0.091411,-0.160016,0.601991,-0.537494,0.568420,483503395.125765
0.065602,0.179134,0.001329,-0.158846,0.611205,-0.536705,0.559594,483503395.126539
0.129409,0.310455,-0.020526,-0.155759,0.620044,-0.537252,0.550131,483503395.142196
0.183025,0.337918,-0.048590,-0.152103,0.626463,-0.539983,0.541135,483503395.158331
0.238573,0.291168,0.039840,-0.148625,0.630800,-0.543908,0.533071,483503395.158731
0.281226,0.149287,0.059348,-0.145374,0.634020,-0.547894,0.526020,483503395.173721
0.242196,0.104776,0.142372,-0.142702,0.637577,-0.551151,0.519003,483503395.190068
0.116259,0.242885,0.021069,-0.142596,0.641560,-0.553229,0.511864,483503395.190481
0.083441,0.362102,-0.289060,-0.146735,0.644346,-0.554894,0.505351,483503395.205701
0.167054,-0.240660,0.234434,-0.152521,0.646299,-0.556763,0.499050,483503395.220881
-0.035056,-0.158237,0.229350,-0.157514,0.648551,-0.558515,0.492576,483503395.221338
-0.190051,-0.029478,0.190912,-0.162939,0.651211,-0.559188,0.486501,483503395.236777
-0.133561,0.152709,0.108158,-0.170662,0.654633,-0.558921,0.479518,483503395.252358
0.017436,0.311425,-0.083904,-0.181718,0.658644,-0.558294,0.470612,483503395.252763
0.060193,0.173043,-0.141617,-0.195625,0.663120,-0.557320,0.459779,483503395.267914
0.100750,0.111060,-0.220270,-0.211495,0.667642,-0.556155,0.447456,483503395.284458
0.108379,0.250667,-0.361287,-0.229798,0.671226,-0.554790,0.434576,483503395.285078
0.040373,0.509633,-0.059332,-0.248410,0.676646,-0.552586,0.418440,483503395.300019
0.397795,-0.585502,0.097296,-0.260203,0.682881,-0.552398,0.401030,483503395.315735
0.579718,-1.401293,-0.415492,-0.261866,0.687364,-0.553600,0.390491,483503395.316177
-0.562201,-0.364389,0.161839,-0.255015,0.691902,-0.557872,0.380812,483503395.331186
0.184870,-2.513669,-0.328364,-0.245088,0.697501,-0.565834,0.365043,483503395.348265
0.097142,-1.432822,-0.506362,-0.235790,0.701815,-0.573527,0.350608,483503395.349092
-0.277451,0.706872,-0.219485,-0.226468,0.701663,-0.585240,0.337454,483503395.362974
