ts,pos_x,pos_y,vel_x,vel_y,acc_x,acc_y,theta,mag_vel,K_curve
1461812419.07,0.0,0.0,0.0,0.0,-0.0203831053406,-0.0069974531227,0,0.0,0
1461812419.07,-0.0101915526703,-0.00349872656135,-0.0199754432337,-0.00685750406025,-0.0203823708994,-0.00699702218962,0,0.0211197465496,-0.000379142323596
1461812419.08,-0.0403581813537,-0.0138547417164,-0.0395506578504,-0.0135774357249,-0.0203809377211,-0.00699611790506,0,0.0418162802897,-0.000270874953904
1461812419.1,-0.0900993080647,-0.0309302363938,-0.0587329636602,-0.0201620825573,-0.0203788238099,-0.00699471830533,0,0.0620972671971,-0.000246363251635
1461812419.1,-0.15902168363,-0.0545896781038,-0.0775295517207,-0.0266136648454,-0.0203760782478,-0.00699285676202,0,0.0819702296356,-0.000234340806081
1461812419.11,-0.246739274474,-0.0846997713302,-0.0959475173691,-0.0329343911753,-0.0203727551979,-0.0069905614467,0,0.101442595646,-0.000227293798477
1461812419.13,-0.352873169442,-0.121129443229,-0.113993867116,-0.0391264535695,-0.0203689396945,-0.00698781269275,0,0.120521703891,-0.00022653581353
1461812419.14,-0.477051506405,-0.163749803145,-0.131675550674,-0.045191980937,-0.0203646560942,-0.00698454290948,0,0.139214818846,-0.000231873746022
1461812419.14,-0.618909385126,-0.212434055537,-0.148999402633,-0.0511329933696,-0.0203599307282,-0.00698086120114,0,0.157529060798,-0.000235359272099
1461812419.16,-0.778088753123,-0.267057479507,-0.165972146694,-0.0569515774793,-0.0203546130952,-0.0069767370265,0,0.175471466784,-0.000237525299946
1461812419.17,-0.954238206364,-0.327497425499,-0.182600224593,-0.0626497482157,-0.0203487423527,-0.00697215484941,0,0.19304878392,-0.000239980699005
1461812419.17,-1.14701280213,-0.39363325114,-0.198889987607,-0.0682294650038,-0.0203423920493,-0.00696713180076,0,0.210267655775,-0.000242863399992
1461812419.19,-1.35607398577,-0.465346282044,-0.214847732063,-0.0736926648685,-0.0203355540091,-0.00696171969182,0,0.227134666725,-0.000245050415185
1461812419.2,-1.58108949483,-0.542519806758,-0.230479620351,-0.0790412968691,-0.0203282127763,-0.00695592277917,0,0.243656278408,-0.000246784744333
1461812419.2,-1.82173322157,-0.625039065017,-0.245791676465,-0.0842772752553,-0.0203203605831,-0.00694976604803,0,0.259838810311,-0.000247955999289
1461812419.22,-2.07768507833,-0.712791223296,-0.260789796307,-0.0894025004773,-0.0203119463208,-0.00694317234267,0,0.275688456322,-0.000249614608014
1461812419.23,-2.3486308478,-0.805665309945,-0.275479707775,-0.0944187593635,-0.0203029356378,-0.00693607707379,0,0.291211214612,-0.000252249043341
1461812419.23,-2.63426202339,-0.903552107845,-0.289866990544,-0.0993277397086,-0.0202933808493,-0.00692847323547,0,0.30641291109,-0.000255831822648
1461812419.24,-2.93427570436,-1.00634408417,-0.303957163966,-0.104131088685,-0.0202832564932,-0.0069204407158,0,0.32129930152,-0.000259281480687
1461812419.25,-3.24837449657,-1.11393539321,-0.31775561205,-0.108830498813,-0.0202725600217,-0.00691200947298,0,0.335876028411,-0.00026241051436
1461812419.26,-3.57626638863,-1.22622189676,-0.33126760863,-0.11342765812,-0.0202612273256,-0.00690311453969,0,0.350148628662,-0.000265674703907
1461812419.28,-3.91766461092,-1.34310111215,-0.344498259237,-0.117924157207,-0.0202492630233,-0.00689379371628,0,0.364122448457,-0.000268808726215
1461812419.29,-4.27228750167,-1.46447216622,-0.357452571815,-0.122321591905,-0.0202367526894,-0.00688404159305,0,0.37780274343,-0.000272104912809
1461812419.29,-4.63985844983,-1.59023577892,-0.370135538014,-0.126621520828,-0.0202237113818,-0.00687384970047,0,0.391194741833,-0.000275633598457
1461812419.31,-5.02010584354,-1.7202942246,-0.382552064408,-0.130825463118,-0.0202101162883,-0.00686321480174,0,0.404303578741,-0.000279337034354
1461812419.32,-5.41276296609,-1.85455129512,-0.394706937082,-0.134934904361,-0.0201959725335,-0.00685213544869,0,0.417134264471,-0.000283214709489
1461812419.32,-5.81756788944,-1.9929122672,-0.406604851424,-0.138951299013,-0.0201812228882,-0.00684064904434,0,0.429691713556,-0.000286956922019
1461812419.34,-6.23426335231,-2.13528389074,-0.418250352826,-0.142876109097,-0.0201659080284,-0.00682877912698,0,0.44198070115,-0.000290564269251
1461812419.35,-6.66259665915,-2.2815743894,-0.429647935637,-0.146710790459,-0.0201500530494,-0.00681650456529,0,0.454005952201,-0.000294218791998
1461812419.35,-7.10231962131,-2.43169343214,-0.440802028913,-0.150456749124,-0.0201336357365,-0.00680380407086,0,0.465772113861,-0.000297989533433
1461812419.37,-7.55318846809,-2.5855520833,-0.451716951356,-0.154115342131,-0.020116664226,-0.00679064992333,0,0.477283713134,-0.00030199932203
