ts,pos_x,pos_y,vel_x,vel_y,acc_x,acc_y,theta,mag_vel,K_curve
1461811907.05,0.0,0.0,0.0,0.0,-0.00529742856111,0.00195053375332,0,0.0,0
1461811907.06,-0.00264871428055,0.000975266876659,-0.00519147998989,0.00191152307825,-0.0052977885721,0.0019508374276,0,0.00553221338743,-0.0052467111088
1461811907.08,-0.0104890885565,0.00386220866871,-0.0102794831907,0.00378511329573,-0.00529851728283,0.00195143411223,0,0.0109542164179,-0.0032302033465
1461811907.09,-0.0234178303886,0.00862303902056,-0.0152664404641,0.0056218164598,-0.00529961251692,0.00195232474916,0,0.016268651596,-0.00269419144649
1461811907.09,-0.0413340771112,0.0152210178549,-0.0201547319214,0.00742265838478,-0.00530106336214,0.00195349285907,0,0.0214781069073,-0.00243665325848
1461811907.09,-0.0641393407137,0.0236204226693,-0.0249466793779,0.00918862821898,-0.00530286507924,0.00195493153442,0,0.0265851029813,-0.0022882197129
1461811907.12,-0.0917374526312,0.0337865166554,-0.029644553568,0.0109206885583,-0.00530501558749,0.00195662536699,0,0.031592103362,-0.00218397172057
1461811907.12,-0.124034513993,0.0456855178973,-0.0342505777723,0.0126197676468,-0.00530752086885,0.00195855883652,0,0.0365015152179,-0.00209921711459
1461811907.12,-0.1609388522,0.0592845649624,-0.0387669366684,0.0142867599537,-0.00531038031727,0.00196073612711,0,0.0413156978475,-0.00203620965348
1461811907.15,-0.202360979027,0.0745516929796,-0.0431957706459,0.0159225461592,-0.00531359161222,0.00196315784701,0,0.0460369642558,-0.00199043473602
1461811907.15,-0.248213545479,0.0914558180622,-0.047539175013,0.017527989926,-0.00531715406652,0.00196582668014,0,0.0506675792965,-0.00195854433342
1461811907.15,-0.298411297525,0.109966721328,-0.0517992024979,0.0191039402741,-0.00532107178563,0.00196873912736,0,0.0552097628451,-0.00193527325001
1461811907.18,-0.352871035916,0.130055031166,-0.0559778687979,0.0206512258134,-0.00532535191441,0.00197190445837,0,0.0596656930132,-0.00192064859956
1461811907.18,-0.411511580671,0.151692209209,-0.060077156298,0.0221706676663,-0.00532999739215,0.00197533412635,0,0.0640375141119,-0.00191487496181
1461811907.18,-0.474253735665,0.174850543938,-0.0640990106164,0.0236630817568,-0.00533501192159,0.00197903462965,0,0.0683273342099,-0.00191645351075
1461811907.21,-0.541020252242,0.19950314301,-0.0680453420872,0.0251292740587,-0.00534040375663,0.00198300484085,0,0.0725372248882,-0.00192255609331
1461811907.21,-0.611735796208,0.225623919489,-0.071918030927,0.0265700333216,-0.00534615864875,0.00198724722529,0,0.0766692235719,-0.00193331006525
1461811907.21,-0.686326906459,0.253187576423,-0.0757189057842,0.027986134936,-0.00535227546631,0.0019917688117,0,0.080725314752,-0.00194857209696
1461811907.24,-0.764721949976,0.282169595765,-0.0794497576255,0.0293783456727,-0.00535876166658,0.00199656679085,0,0.0847074446623,-0.00196640977529
1461811907.24,-0.846851088435,0.312546224833,-0.0831123489062,0.0307474142143,-0.00536561688895,0.00200163765811,0,0.0886175266049,-0.0019858084847
1461811907.24,-0.932646245786,0.344294457877,-0.0867084064793,0.0320940708349,-0.0053728410151,0.00200698848055,0,0.0924574341897,-0.00200722557632
1461811907.27,-1.02204107277,0.377392022952,-0.0902396225445,0.0334190381292,-0.00538041510356,0.00201262825058,0,0.0962290059517,-0.00203181614196
1461811907.27,-1.11497090287,0.411817375206,-0.0937076368951,0.0347230330522,-0.00538832050183,0.00201856266853,0,0.0999340294235,-0.00205998096699
1461811907.27,-1.21137270002,0.447549689593,-0.097114038249,0.0360067638063,-0.00539654001794,0.00202479736081,0,0.103574241319,-0.00209188652851
1461811907.3,-1.31118500827,0.484568852079,-0.100460366702,0.0372709299437,-0.00540507367568,0.00203131578064,0,0.107151329888,-0.0021252672051
1461811907.3,-1.41434791181,0.522855439913,-0.10374813157,0.0385162008099,-0.00541392486164,0.00203811133773,0,0.110666944157,-0.00215915492209
1461811907.3,-1.52080300581,0.562390696392,-0.106978815303,0.0397432259047,-0.00542309905405,0.00204518683161,0,0.114122701199,-0.00219346099069
1461811907.33,-1.63049337064,0.603156515713,-0.11015387607,0.0409526444816,-0.00543259780343,0.00205254982503,0,0.117520191896,-0.00222853649056
1461811907.33,-1.74336354561,0.645135435107,-0.113274744396,0.0421450904204,-0.005442427043,0.00206019862152,0,0.120860979495,-0.00226393592234
1461811907.33,-1.85935950353,0.688310624838,-0.11634282801,0.0433211832611,-0.00545258847413,0.00206814144075,0,0.124146601035,-0.00230001686091
1461811907.36,-1.97842862578,0.732665878819,-0.119359508154,0.0444815382078,-0.00546308719679,0.00207638494128,0,0.127378567382,-0.00233688198487
1461811907.36,-2.10051967753,0.778185609498,-0.122326143444,0.0456267646861,-0.00547392586862,0.00208493042733,0,0.130558366356,-0.00237435856302
1461811907.38,-2.22558278391,0.824854839398,-0.125244067926,0.0467574612112,-0.00548510832481,0.00209377155089,0,0.133687459134,-0.00241188173592
1461811907.39,-2.353569406,0.872659186384,-0.128114592726,0.0478742081069,-0.0054966405304,0.00210291367482,0,0.136767279242,-0.0024495509946
1461811907.39,-2.48443231899,0.921584851329,-0.130939008592,0.048977579346,-0.00550851920024,0.00211235234217,0,0.139799239088,-0.00248713673291
1461811907.41,-2.61812558718,0.971618606846,-0.133718577236,0.0500681330545,-0.00552074109796,0.00212208669653,0,0.14278471853,-0.00252461816762
1461811907.42,-2.75460453497,1.02274778325,-0.136454531967,0.051146415356,-0.00553330999476,0.00213211488459,0,0.145725066815,-0.00256181703789
