ax,ay,az,qx,qy,qz,qw,ts
-0.046624,0.016386,-0.120950,0.157173,-0.112865,-0.340834,0.919995,484068539.083933
-0.056905,0.041778,-0.090643,0.157496,-0.112339,-0.340759,0.920032,484068539.085340
-0.030278,0.014659,-0.002667,0.159036,-0.111298,-0.340669,0.919926,484068539.095671
0.026377,-0.033422,0.058148,0.160429,-0.109923,-0.340515,0.919907,484068539.110444
0.056883,-0.019167,0.098614,0.160992,-0.109027,-0.340391,0.919961,484068539.111594
0.042316,0.001586,0.136077,0.160429,-0.108940,-0.340308,0.920100,484068539.125470
0.034508,-0.010303,0.152082,0.158595,-0.109493,-0.340187,0.920397,484068539.141148
0.015227,-0.016712,0.114428,0.155763,-0.110339,-0.340046,0.920832,484068539.141690
-0.020248,-0.020372,0.016138,0.152776,-0.111382,-0.339867,0.921273,484068539.156713
-0.068824,-0.017784,-0.095800,0.150525,-0.111843,-0.339825,0.921603,484068539.172460
-0.098162,-0.015084,-0.134506,0.149526,-0.111772,-0.339874,0.921756,484068539.172786
-0.028863,-0.013576,-0.067516,0.149331,-0.111341,-0.340002,0.921793,484068539.188369
0.014071,-0.011921,-0.064619,0.149294,-0.110743,-0.340153,0.921815,484068539.203934
0.028650,-0.007200,-0.057534,0.149430,-0.110583,-0.340039,0.921854,484068539.205086
0.018434,-0.003743,-0.044441,0.149737,-0.110474,-0.339763,0.921920,484068539.219582
0.007339,-0.006685,-0.021353,0.150138,-0.110239,-0.339339,0.922038,484068539.236289
-0.005877,-0.012272,0.001397,0.150568,-0.109999,-0.338835,0.922182,484068539.236547
-0.012277,-0.018317,0.009939,0.150722,-0.109689,-0.338367,0.922366,484068539.251085
-0.023861,-0.025444,0.009380,0.150652,-0.109600,-0.338080,0.922493,484068539.267391
-0.027915,-0.024118,0.001303,0.150450,-0.109750,-0.337998,0.922538,484068539.267710
-0.031008,-0.018858,-0.007722,0.150305,-0.110378,-0.338053,0.922467,484068539.282951
-0.037991,-0.017893,-0.015448,0.150217,-0.110614,-0.338291,0.922366,484068539.298737
-0.033756,-0.010890,-0.013049,0.150244,-0.110707,-0.338539,0.922259,484068539.299173
-0.016632,-0.012428,-0.002798,0.150416,-0.110827,-0.338817,0.922115,484068539.314158
-0.009187,-0.008276,-0.005288,0.150537,-0.110599,-0.339147,0.922001,484068539.329912
-0.005544,-0.005040,0.012880,0.150690,-0.110331,-0.339475,0.921887,484068539.330568
0.003193,-0.001001,0.021404,0.150815,-0.110035,-0.339687,0.921824,484068539.345805
0.006595,-0.003734,0.010479,0.150942,-0.109827,-0.339781,0.921794,484068539.361412
-0.001808,-0.004665,0.000117,0.150964,-0.109904,-0.339808,0.921771,484068539.361696
-0.008257,-0.007492,0.016082,0.151034,-0.110076,-0.339845,0.921725,484068539.377356
-0.018261,0.000091,0.018101,0.150994,-0.110291,-0.339931,0.921674,484068539.393417
-0.021200,0.000268,0.014096,0.150828,-0.110846,-0.340030,0.921598,484068539.393652
-0.020176,0.000427,0.007351,0.150591,-0.111340,-0.340221,0.921507,484068539.408696
-0.014863,0.002414,0.003321,0.150351,-0.111736,-0.340466,0.921408,484068539.424123
-0.001175,0.005567,-0.019755,0.149956,-0.112037,-0.340641,0.921371,484068539.424355
0.003083,0.005523,-0.034566,0.149661,-0.112146,-0.340789,0.921351,484068539.439883
-0.000895,0.009395,-0.029077,0.149472,-0.112308,-0.340825,0.921349,484068539.455585
-0.004222,0.004544,-0.025148,0.149462,-0.112406,-0.340832,0.921336,484068539.455911
-0.014782,-0.003245,-0.004980,0.149639,-0.112553,-0.340763,0.921314,484068539.471570
-0.015502,-0.006854,0.014180,0.149846,-0.112525,-0.340805,0.921269,484068539.487250
-0.016685,-0.009325,0.010159,0.149929,-0.112296,-0.340943,0.921232,484068539.487565
-0.009472,-0.011599,-0.002784,0.149959,-0.112059,-0.341127,0.921188,484068539.503781
-0.005333,-0.006702,-0.012430,0.150004,-0.111938,-0.341375,0.921103,484068539.519606
-0.004803,-0.009197,-0.007085,0.150108,-0.112028,-0.341574,0.921002,484068539.520046
0.000818,-0.008568,0.000240,0.150186,-0.112193,-0.341719,0.920915,484068539.534994
0.000018,-0.009218,-0.011788,0.150314,-0.112304,-0.341821,0.920843,484068539.550219
-0.001304,-0.005806,0.002442,0.150422,-0.112239,-0.341894,0.920806,484068539.550458
0.004007,-0.013704,0.014844,0.150650,-0.111942,-0.341925,0.920794,484068539.567075
0.003473,-0.015064,0.018788,0.150735,-0.111538,-0.341927,0.920828,484068539.582300
0.005426,-0.013537,0.001907,0.150678,-0.111110,-0.341918,0.920892,484068539.582818
-0.005731,-0.015525,-0.011395,0.150581,-0.110927,-0.341916,0.920931,484068539.597861
-0.009488,-0.019625,-0.012429,0.150591,-0.110938,-0.341995,0.920899,484068539.613837
-0.008265,-0.015358,0.001865,0.150621,-0.110940,-0.342148,0.920837,484068539.614246
-0.009764,-0.007963,-0.003304,0.150575,-0.110856,-0.342359,0.920776,484068539.629747
-0.008549,-0.006108,-0.015300,0.150584,-0.110642,-0.342579,0.920718,484068539.645023
-0.004981,-0.008890,-0.023580,0.150698,-0.110406,-0.342766,0.920658,484068539.645453
-0.004407,-0.003644,-0.017171,0.150918,-0.110243,-0.342909,0.920589,484068539.660606
-0.006529,0.000613,0.001103,0.151055,-0.110172,-0.343033,0.920528,484068539.676511
-0.007176,0.002793,-0.001672,0.151091,-0.109981,-0.343150,0.920502,484068539.676913
-0.009287,-0.001301,0.000535,0.151075,-0.109738,-0.343278,0.920486,484068539.692294
-0.010555,-0.000540,-0.006921,0.151020,-0.109451,-0.343498,0.920447,484068539.707759
-0.007427,0.001589,-0.005251,0.151025,-0.109011,-0.343755,0.920402,484068539.708070
-0.001771,0.006151,-0.003018,0.151069,-0.108446,-0.344036,0.920357,484068539.723161
-0.000781,0.011026,-0.002528,0.151085,-0.107927,-0.344301,0.920316,484068539.740645
0.000996,0.006157,-0.002396,0.151189,-0.107510,-0.344539,0.920259,484068539.741044
0.010245,0.005551,-0.000846,0.151374,-0.107192,-0.344705,0.920203,484068539.755351
0.008827,0.001357,-0.004030,0.151597,-0.107008,-0.344844,0.920136,484068539.770912
0.001552,0.005156,0.001734,0.151819,-0.106951,-0.344904,0.920084,484068539.771333
-0.005168,0.002918,0.011799,0.152013,-0.106902,-0.344996,0.920023,484068539.786962
-0.006302,0.001588,0.020791,0.152113,-0.106859,-0.345012,0.920005,484068539.802561
-0.004985,-0.000981,0.017994,0.152164,-0.106652,-0.345079,0.919996,484068539.803032
-0.009892,-0.002510,0.017077,0.152152,-0.106459,-0.345164,0.919988,484068539.818523
-0.009946,-0.004679,0.015038,0.152109,-0.106292,-0.345315,0.919958,484068539.834200
-0.013519,0.001924,0.016560,0.152045,-0.106106,-0.345516,0.919914,484068539.834629
-0.015064,0.000458,0.019556,0.151963,-0.105923,-0.345732,0.919868,484068539.849570
-0.007649,-0.003623,0.018394,0.151836,-0.105640,-0.345986,0.919826,484068539.865304
-0.004594,0.000607,0.008967,0.151569,-0.105330,-0.346291,0.919791,484068539.865661
-0.001179,0.009766,0.000796,0.151274,-0.104976,-0.346614,0.919758,484068539.881650
-0.002007,0.011054,0.001856,0.151003,-0.104622,-0.346858,0.919751,484068539.896882
-0.001329,0.008620,0.004800,0.150797,-0.104154,-0.347004,0.919783,484068539.897272
-0.002537,0.011534,0.010669,0.150539,-0.103587,-0.347124,0.919844,484068539.912838
-0.000644,0.008205,0.010360,0.150341,-0.102961,-0.347161,0.919933,484068539.928291
-0.002916,0.003544,0.004464,0.150161,-0.102387,-0.347248,0.919993,484068539.928687
-0.006193,0.006012,0.011428,0.150005,-0.101891,-0.347332,0.920042,484068539.943338
-0.010542,-0.001132,0.009704,0.149862,-0.101500,-0.347422,0.920075,484068539.960026
-0.000864,-0.004149,0.011015,0.149751,-0.101026,-0.347571,0.920088,484068539.960335
-0.003753,-0.000954,0.012475,0.149567,-0.100593,-0.347712,0.920113,484068539.975035
-0.001442,-0.004599,0.014187,0.149365,-0.100240,-0.347923,0.920104,484068539.990602
0.001457,-0.003357,0.012148,0.149091,-0.099949,-0.348140,0.920098,484068539.991026
-0.000187,-0.006167,0.021388,0.148817,-0.099762,-0.348327,0.920092,484068540.006884
0.000732,-0.002398,0.021652,0.148456,-0.099678,-0.348532,0.920082,484068540.022028
-0.002010,-0.007780,0.022477,0.148147,-0.099752,-0.348752,0.920040,484068540.022324
-0.008316,-0.007617,0.015799,0.147879,-0.100022,-0.349005,0.919958,484068540.038682
-0.006718,-0.009357,0.005439,0.147512,-0.100256,-0.349323,0.919871,484068540.054150
-0.008524,0.001359,0.005365,0.147076,-0.100549,-0.349615,0.919798,484068540.054586
-0.008815,0.005930,0.025119,0.146661,-0.100638,-0.349850,0.919765,484068540.069741
-0.007111,0.019379,0.042018,0.146097,-0.099960,-0.349916,0.919904,484068540.085787
-0.014572,0.023817,0.034221,0.145325,-0.098439,-0.349773,0.920244,484068540.086211
-0.018601,0.010875,0.018526,0.144549,-0.096407,-0.349638,0.920633,484068540.101635
-0.018130,-0.007069,0.006252,0.144019,-0.094304,-0.349572,0.920959,484068540.117058
-0.009865,-0.004550,0.013945,0.143431,-0.092258,-0.349611,0.921243,484068540.117570
0.007200,-0.000059,0.023690,0.142754,-0.090070,-0.349662,0.921545,484068540.132690
0.003799,0.015813,0.036509,0.141888,-0.087807,-0.349677,0.921891,484068540.148397
-0.005053,-0.007797,0.049615,0.140896,-0.085557,-0.349664,0.922260,484068540.148767
0.017849,-0.033857,0.037337,0.139447,-0.083201,-0.349731,0.922670,484068540.164536
0.024379,-0.024344,0.012077,0.137689,-0.080936,-0.349854,0.923089,484068540.180084
0.030400,-0.016338,-0.029238,0.136016,-0.078769,-0.350054,0.923448,484068540.180488
0.022038,-0.003409,-0.046191,0.134504,-0.076990,-0.350188,0.923769,484068540.195877
0.027593,0.007849,-0.036186,0.133071,-0.075969,-0.350188,0.924061,484068540.211463
0.031596,0.014524,-0.025035,0.131756,-0.074849,-0.350002,0.924411,484068540.211834
0.025154,0.011473,-0.038856,0.130647,-0.073509,-0.349482,0.924873,484068540.227134
0.011783,-0.003577,-0.040801,0.129671,-0.072242,-0.348833,0.925355,484068540.244413
0.035909,-0.046177,-0.020773,0.128816,-0.071519,-0.348149,0.925788,484068540.245104
0.017691,-0.039991,-0.034324,0.127958,-0.071571,-0.347575,0.926119,484068540.258655
-0.014971,-0.008598,-0.054676,0.126938,-0.072937,-0.347387,0.926223,484068540.274289
-0.006574,-0.022700,-0.081883,0.125895,-0.075636,-0.347590,0.926073,484068540.274674
0.001356,-0.015373,-0.035450,0.125443,-0.078838,-0.347956,0.925730,484068540.290051
0.001965,-0.004023,0.034437,0.125234,-0.081634,-0.348231,0.925412,484068540.305909
-0.009285,0.006372,0.065030,0.124974,-0.083507,-0.348319,0.925247,484068540.306328
-0.009748,0.008196,0.045303,0.124508,-0.084058,-0.348252,0.925285,484068540.321683
0.003131,0.001554,0.031440,0.123997,-0.083883,-0.348104,0.925425,484068540.337409
0.011957,-0.011898,0.012022,0.123480,-0.083761,-0.347969,0.925556,484068540.338051
0.017403,-0.025161,-0.011778,0.123056,-0.084282,-0.347860,0.925606,484068540.353005
0.010975,-0.029061,-0.001666,0.122241,-0.085520,-0.347836,0.925610,484068540.368787
-0.000740,-0.023805,0.018149,0.121405,-0.086852,-0.347902,0.925571,484068540.369161
-0.029092,-0.021980,0.038971,0.120387,-0.087754,-0.348126,0.925535,484068540.384414
-0.044641,-0.014542,0.042422,0.119221,-0.088597,-0.348537,0.925451,484068540.400138
