ts,pos_x,pos_y,vel_x,vel_y,acc_x,acc_y,theta,mag_vel,K_curve
1461811541.76,0.0,0.0,0.0,0.0,0.00271291198766,-0.00769410981147,0,0.0,0
1461811541.76,0.00135645599383,-0.00384705490574,0.0026586537479,-0.00754022761524,0.00271295548188,-0.00769433897534,0,0.00799521558439,-0.000550422516197
1461811541.78,0.00537158748267,-0.0152344520087,0.00526417704519,-0.0149298752588,0.00271305911573,-0.00769479655595,0,0.0158307528313,-0.000286644408756
1461811541.79,0.0119922940857,-0.0340117255454,0.0078176914377,-0.0221721783784,0.00271320859306,-0.00769547848008,0,0.0235100360157,-0.000240972501843
1461811541.79,0.02116658982,-0.0600316431639,0.0103202820302,-0.0292703037213,0.00271339802427,-0.00769638963509,0,0.031036412504,-0.000231714529115
1461811541.81,0.0328435708622,-0.0931501417027,0.0127730064533,-0.0362273594893,0.00271363458244,-0.00769751207931,0,0.0384131653138,-0.000221517657919
1461811541.82,0.0469733946068,-0.133226257232,0.0151769082151,-0.0430463741372,0.00271389773163,-0.00769885550559,0,0.045643497558,-0.000224693972271
1461811541.82,0.0635072516877,-0.180122059122,0.0175329898278,-0.04973032505,0.00271423353326,-0.00770042251675,0,0.0527305505554,-0.000216302312033
1461811541.84,0.0823973582821,-0.23370259543,0.0198422788938,-0.0562821326154,0.00271462226308,-0.00770222578608,0,0.0596774202143,-0.000211645019443
1461811541.85,0.103596948307,-0.293835840938,0.0221057631337,-0.0627046712334,0.00271505182549,-0.00770425654525,0,0.0664871458119,-0.000211079568866
1461811541.85,0.127060237354,-0.360392640445,0.02432439866,-0.0690007492231,0.00271553976122,-0.00770651812966,0,0.0731626937962,-0.000209745169708
1461811541.87,0.152742405895,-0.433246648732,0.0264991396528,-0.0751731220057,0.00271607973636,-0.00770900770434,0,0.079706980086,-0.000209082687161
1461811541.87,0.180599585416,-0.51227427459,0.0286309150014,-0.0812244871159,0.00271666756744,-0.00771172173512,0,0.0861228575992,-0.000209334131948
1461811541.88,0.210588834201,-0.597354622574,0.0307206309175,-0.087157484674,0.00271729575865,-0.00771465827549,0,0.0924131175681,-0.000210974164832
1461811541.9,0.242668112997,-0.688369436385,0.0327691681426,-0.0929747000905,0.00271796813438,-0.00771782420119,0,0.0985804911616,-0.000213364614292
1461811541.91,0.276796265207,-0.785203048577,0.0347773935514,-0.0986786738058,0.00271868719635,-0.00772122046672,0,0.104627662529,-0.000216069385774
1461811541.91,0.312933002357,-0.887742332616,0.0367461591328,-0.104271896387,0.00271945616296,-0.00772485805862,0,0.110557263837,-0.00021905230812
1461811541.92,0.351038889571,-0.995876658032,0.0386763029899,-0.109756819357,0.00272028034127,-0.0077287262274,0,0.116371885816,-0.000221604649118
1461811541.94,0.391075332732,-1.1094978405,0.0405686516645,-0.115135834673,0.00272115837143,-0.00773282000408,0,0.122074059176,-0.000223862361805
1461811541.96,0.433004563582,-1.22850008518,0.0424240138352,-0.120411281583,0.00272209301972,-0.00773714137594,0,0.127666258982,-0.000225819774544
1461811541.96,0.476789623927,-1.35277993745,0.0442431847179,-0.1255854545,0.00272307332777,-0.00774168743042,0,0.133150913538,-0.000228117024673
1461811541.96,0.522394345309,-1.48223623566,0.0460269328847,-0.130660599092,0.00272409578396,-0.00774645601508,0,0.138530396324,-0.000230816630374
1461811541.97,0.569783326085,-1.61677006276,0.0477760080953,-0.135638914005,0.00272518489744,-0.00775143804694,0,0.143807030224,-0.000232564863234
1461811541.99,0.618921926629,-1.75628469579,0.0494911691329,-0.140522545011,0.00272632219019,-0.00775663501237,0,0.14898309125,-0.000234425194593
1461811541.99,0.669776256857,-1.90068555831,0.0511731414966,-0.145313596422,0.0027275005671,-0.00776204425049,0,0.154060805255,-0.000236633486144
1461811542.0,0.722313148638,-2.04988017685,0.0528226292224,-0.150014127859,0.00272872459002,-0.00776765728911,0,0.159042348811,-0.000238843458143
1461811542.02,0.776500140155,-2.20377813336,0.0544403267362,-0.154626149446,0.00272997982638,-0.00777346333833,0,0.163929848617,-0.000241440710539
1461811542.03,0.832305456804,-2.36229101447,0.0560269004313,-0.159151620528,0.00273126531353,-0.00777946700996,0,0.16872537417,-0.00024444003383
1461811542.04,0.889697989893,-2.52533236851,0.05758300243,-0.163592465787,0.00273263532026,-0.0077856898276,0,0.173430957534,-0.000246303879616
1461811542.04,0.948647309983,-2.69281767921,0.0591093249952,-0.167950592503,0.00273407745713,-0.00779210224178,0,0.178048627693,-0.000247321417754
1461811542.05,1.00912367371,-2.86466432283,0.0606065344033,-0.17222784085,0.00273555881565,-0.00779873914373,0,0.182580341702,-0.000248941648934
1461811542.06,1.07109798752,-3.04079153325,0.0620752513546,-0.176426048393,0.00273710562626,-0.00780559082331,0,0.187028039028,-0.000250266949068
1461811542.08,1.13454179169,-3.22112037706,0.0635161098412,-0.180547006432,0.00273869520926,-0.00781265502624,0,0.191393619907,-0.000251921760757
1461811542.09,1.19942724913,-3.405573711,0.0649297089495,-0.18459246823,0.00274032684633,-0.00781992810887,0,0.195678937117,-0.000253845278501
1461811542.09,1.2657271215,-3.59407614329,0.0663166350799,-0.188564148412,0.00274200277525,-0.00782739834193,0,0.199885802784,-0.000255850662417
1461811542.11,1.33341475797,-3.78655399087,0.067677465098,-0.192463715818,0.00274372658609,-0.00783508394483,0,0.20401598268,-0.000257995065854
1461811542.11,1.40246408636,-3.98293524866,0.0690127678504,-0.196292823768,0.00274549580134,-0.00784301519666,0,0.208071225279,-0.000260548616033
1461811542.12,1.47284960211,-4.18314958003,0.0703230983788,-0.200053122185,0.00274729953584,-0.00785117303136,0,0.212053271283,-0.000263542883884
1461811542.13,1.54454635026,-4.38712828873,0.0716089899563,-0.203746209312,0.00274914835651,-0.00785955686896,0,0.215963805421,-0.000266700177528
1461811542.15,1.61752991439,-4.59480427648,0.0728709755466,-0.207373650858,0.0027510432007,-0.00786813513027,0,0.219804481636,-0.000269765412975
1461811542.15,1.69177641154,-4.8061119949,0.0741095783723,-0.210936950268,0.0027529951941,-0.00787689945922,0,0.223576891907,-0.000272488106179
1461811542.17,1.76726248751,-5.0209873949,0.0753253220951,-0.214437572733,0.00275499776574,-0.00788585591637,0,0.227282592269,-0.000275074691472
1461811542.18,1.84396530849,-5.23936789559,0.0765187134636,-0.217876960076,0.00275704810922,-0.00789500706384,0,0.230923111105,-0.00027761072599
1461811542.18,1.92186254601,-5.4611923592,0.0776902463414,-0.221256527797,0.00275914058983,-0.00790435535574,0,0.234499947696,-0.000280216417483
1461811542.19,2.00093236264,-5.68640106467,0.0788403991926,-0.22457766549,0.00276129056684,-0.00791387862244,0,0.238014571785,-0.000282500118798
1461811542.21,2.08115340712,-5.91493566947,0.0799696559642,-0.22784171323,0.0027634970708,-0.00792358853891,0,0.241468408208,-0.000284583985857
1461811542.21,2.16250481162,-6.14673917697,0.0810784899743,-0.231049995734,0.00276574975017,-0.00793348000168,0,0.244862863793,-0.000286627854463
1461811542.22,2.24496617647,-6.38175591271,0.08216735493,-0.234203806221,0.00276804178068,-0.00794355847639,0,0.248199309154,-0.000288772183773
1461811542.23,2.32851755229,-6.61993149817,0.0832366887765,-0.237304417403,0.00277038806456,-0.00795381226741,0,0.251479090339,-0.000290724243201
1461811542.26,2.4131394351,-6.8612128217,0.0842869353042,-0.240353065077,0.00277280765891,-0.0079642407979,0,0.2547035205,-0.000292226106762
1461811542.26,2.49881277423,-7.10554800718,0.0853185481039,-0.243350959758,0.00277527670687,-0.00797484053354,0,0.257873892175,-0.000293647373783
1461811542.26,2.58551896069,-7.3528863872,0.0863319483145,-0.246299284285,0.00277774362059,-0.00798562890773,0,0.260991461047,-0.0002957973309
1461811542.28,2.67323978081,-7.60317848594,0.0873274980964,-0.249199214929,0.00278017388019,-0.0079965716493,0,0.26405745709,-0.000298909344445
1461811542.29,2.76195736585,-7.8563759867,0.0883055185371,-0.252051870847,0.0027826705559,-0.00800767382457,0,0.267073042821,-0.000301550314967
1461811542.29,2.85165421966,-8.11243169445,0.0892664253111,-0.254858353778,0.00278524734649,-0.00801894332761,0,0.270039395604,-0.000303624228186
1461811542.31,2.94231326865,-8.3712995199,0.0902106392045,-0.257619751164,0.00278784088196,-0.00803040868134,0,0.272957680997,-0.000306113942238
1461811542.31,3.03391782829,-8.6329344754,0.0911385104847,-0.260337156648,0.00279045611084,-0.00804205378334,0,0.275829047101,-0.000308850554644
1461811542.33,3.12645156683,-8.89729265894,0.0920503872636,-0.263011626223,0.00279309267693,-0.00805386100079,0,0.278654605782,-0.000311741534861
1461811542.35,3.21989850044,-9.16433121566,0.0929466103417,-0.265644177479,0.00279577444687,-0.00806580102904,0,0.281435430254,-0.000314366915717
1461811542.35,3.314242998,-9.43400829366,0.0938275370928,-0.268235778938,0.00279849323209,-0.0080778864479,0,0.284172552896,-0.000316897005612
1461811542.35,3.40946978171,-9.70628301582,0.0946935097184,-0.270787392078,0.00280122845159,-0.00809011158558,0,0.286866994426,-0.000319553375465
1461811542.37,3.50556390566,-9.98111546369,0.0955448434066,-0.27329995359,0.00280399692059,-0.00810247616362,0,0.289519743254,-0.00032213522991
