ts,pos_x,pos_y,vel_x,vel_y,acc_x,acc_y,theta,mag_vel,K_curve
1462375483.06,0.0,0.0,0.0,0.0,-0.0256610816129,-0.0043588181904,0,0.0,0
1462375483.06,-0.0128305408064,-0.0021794090952,-0.0251478599806,-0.00427164182659,-0.0256619086548,-0.00435808186507,0,0.0255080729476,-0.00132853303626
1462375483.08,-0.0508093551145,-0.00863009185433,-0.0497935732628,-0.00845712921783,-0.0256635734961,-0.00435659907085,0,0.0505066626583,-0.000850073126647
1462375483.09,-0.113434715125,-0.0192655206076,-0.0739480038236,-0.0125574537229,-0.0256660805434,-0.00435435820311,0,0.0750066457956,-0.000721637172176
1462375483.09,-0.200215759221,-0.034000153432,-0.0976218026797,-0.0165735756875,-0.0256694381332,-0.00435133564444,0,0.0990186839415,-0.000668637899801
1462375483.11,-0.310672280967,-0.0527493969418,-0.120825415997,-0.0205064131053,-0.0256736615164,-0.00434752297189,0,0.122553229779,-0.000642940801674
1462375483.12,-0.444334527722,-0.075429571533,-0.143569095963,-0.0243568573556,-0.0256787582107,-0.00434291505169,0,0.145620540501,-0.0006300210472
1462375483.12,-0.60074300279,-0.101957886414,-0.16586289709,-0.0281257769592,-0.0256847203695,-0.00433750973261,0,0.168230674851,-0.000623958639357
1462375483.14,-0.779448260065,-0.13225241824,-0.18771666511,-0.031814020958,-0.0256915319593,-0.00433132191535,0,0.190393482792,-0.000621532256489
1462375483.15,-0.980010691155,-0.166232100156,-0.209140033128,-0.0354224360158,-0.0256991704531,-0.00432434558646,0,0.21211860463,-0.000621685021467
1462375483.16,-1.20200030951,-0.203816708965,-0.23014241951,-0.0389518459703,-0.0257076239793,-0.00431658065764,0,0.233415465559,-0.000623654636463
1462375483.17,-1.44499654101,-0.244926845264,-0.250733042619,-0.0424030580953,-0.0257169096923,-0.00430804680419,0,0.254293291294,-0.000626733047773
1462375483.18,-1.70858803847,-0.289483926761,-0.270920953265,-0.0457768828015,-0.0257270481698,-0.00429874822545,0,0.27476114339,-0.000630731870545
