ax,ay,az,qx,qy,qz,qw,ts
-0.028821,0.003938,-0.046431,0.032522,-0.177923,-0.967187,0.178426,484068282.831014
0.000233,0.001485,0.027159,0.033704,-0.178435,-0.967178,0.177740,484068282.832408
-0.000826,-0.012513,0.026457,0.034456,-0.178825,-0.967197,0.177097,484068282.844053
-0.044627,-0.020571,0.029488,0.034740,-0.179183,-0.967288,0.176183,484068282.859670
-0.005588,-0.022659,0.044224,0.035057,-0.179383,-0.967457,0.174983,484068282.859949
0.047336,-0.020891,0.051422,0.035579,-0.179668,-0.967609,0.173743,484068282.875813
0.060195,-0.005818,0.058035,0.034884,-0.179499,-0.967815,0.172907,484068282.891104
0.042301,-0.004660,0.032606,0.034060,-0.179328,-0.967972,0.172369,484068282.891398
0.018986,-0.006203,0.011319,0.033150,-0.179244,-0.968087,0.171990,484068282.906521
0.001855,-0.011890,0.012367,0.032399,-0.179283,-0.968155,0.171707,484068282.922339
-0.007205,-0.004882,0.005820,0.031797,-0.179114,-0.968237,0.171536,484068282.922608
-0.014744,-0.002379,-0.004549,0.031434,-0.178934,-0.968318,0.171332,484068282.938732
-0.037869,-0.001098,-0.028942,0.030683,-0.178887,-0.968399,0.171060,484068282.953851
-0.030368,-0.005170,-0.005358,0.030393,-0.178987,-0.968481,0.170541,484068282.955073
-0.021613,0.001162,0.009001,0.030110,-0.179077,-0.968584,0.169914,484068282.969781
-0.004300,-0.002292,0.013951,0.029793,-0.179121,-0.968713,0.169183,484068282.985192
-0.001246,-0.000846,0.023248,0.029413,-0.179200,-0.968839,0.168444,484068282.985475
0.006126,-0.000381,0.014654,0.028921,-0.179092,-0.968994,0.167749,484068283.001367
0.009954,0.002840,-0.003477,0.028304,-0.178962,-0.969140,0.167148,484068283.016859
0.001700,-0.004181,-0.022535,0.027387,-0.178954,-0.969262,0.166600,484068283.017155
0.001712,-0.005043,-0.018230,0.026425,-0.179033,-0.969368,0.166056,484068283.032587
-0.010096,-0.041103,-0.022356,0.025606,-0.179160,-0.969464,0.165487,484068283.048126
-0.033995,-0.017945,-0.033617,0.024752,-0.179471,-0.969574,0.164630,484068283.048729
-0.073397,-0.010594,0.021412,0.023026,-0.180414,-0.969662,0.163331,484068283.063843
-0.075021,-0.012333,0.030794,0.022269,-0.181291,-0.969860,0.161276,484068283.079721
-0.051363,-0.004051,0.010174,0.021269,-0.182320,-0.970148,0.158490,484068283.079951
-0.049861,0.046664,-0.046307,0.019654,-0.183534,-0.970506,0.155073,484068283.095333
0.017672,0.116920,-0.078222,0.018078,-0.185054,-0.970826,0.151410,484068283.111064
0.051393,0.160138,-0.151435,0.018768,-0.187201,-0.970847,0.148526,484068283.111303
