ts,pos_x,pos_y,vel_x,vel_y,acc_x,acc_y,theta,mag_vel,K_curve
1462375482.83,0.0,0.0,0.0,0.0,-0.0104661986496,-0.00494714229828,0,0.0,0
1462375482.83,-0.00523309932481,-0.00247357114914,-0.0102568746766,-0.00484819945232,-0.0104662665603,-0.00494783429403,0,0.0113449775699,0.00463531778775
1462375482.84,-0.0207231072816,-0.00979568774847,-0.0203086784122,-0.00960011307142,-0.0104664437775,-0.00494871496877,0,0.0224634055707,0.0020129561821
1462375482.86,-0.0462650075826,-0.0218701583043,-0.0301596197459,-0.0142578514794,-0.010466637737,-0.00494960430968,0,0.0333599908877,0.00125027127951
1462375482.86,-0.081657946197,-0.0386028119385,-0.0398137323333,-0.0188233066733,-0.0104667810552,-0.00495033586912,0,0.0440391888711,0.000842009636221
1462375482.88,-0.126705069058,-0.0599012865463,-0.0492749031207,-0.0232981696915,-0.0104669928004,-0.00495080373792,0,0.0545052363405,0.000547166741198
1462375482.89,-0.181213468579,-0.0856748581068,-0.0585470580026,-0.0276839939609,-0.0104672378748,-0.00495117578882,0,0.0647623464861,0.000374878773013
1462375482.89,-0.244994145519,-0.115834439962,-0.0676340099599,-0.0319824663547,-0.0104673587429,-0.00495169134079,0,0.0748146874443,0.000312336487245
1462375482.91,-0.31786183485,-0.150292751987,-0.0765393413288,-0.0361954745416,-0.0104671395499,-0.0049524230544,0,0.084666304681,0.000316541389228
1462375482.92,-0.399634745954,-0.188964438056,-0.0852663512611,-0.0403249396441,-0.0104665673997,-0.00495334182529,0,0.0943210019809,0.000345224230985
1462375482.92,-0.490134380915,-0.231766048613,-0.0938182602876,-0.04437271584,-0.0104655757106,-0.00495444447238,0,0.103782483466,0.000385879373194
1462375482.94,-0.589185429058,-0.278615986689,-0.102198159278,-0.0483406171061,-0.0104642245631,-0.00495583583931,0,0.113054318901,0.000436150030658
1462375482.95,-0.696615700618,-0.329434521715,-0.110409136165,-0.0522305238865,-0.0104628857138,-0.00495724242778,0,0.122140103873,0.000462568947132
1462375482.96,-0.812256279639,-0.384143666815,-0.118454581441,-0.056044010988,-0.0104615551623,-0.00495861697456,0,0.131043576843,0.000472545499764
