ax,ay,az,qx,qy,qz,qw,ts
0.240143,0.139377,0.201255,0.178280,0.194678,0.405230,0.875275,484068018.702424
0.198584,0.088294,0.181450,0.168931,0.195391,0.405910,0.876654,484068018.702790
0.158991,0.102015,0.102556,0.158658,0.194442,0.407229,0.878171,484068018.718164
0.108401,0.143630,0.009173,0.148313,0.193855,0.409161,0.879210,484068018.734048
0.000414,0.136643,-0.023404,0.138412,0.194623,0.411202,0.879703,484068018.734410
-0.057382,0.135672,-0.018487,0.128784,0.196805,0.413065,0.879807,484068018.749784
-0.079465,0.139374,-0.045107,0.119327,0.200227,0.414611,0.879641,484068018.766059
-0.107266,0.117475,-0.057247,0.109766,0.204557,0.415922,0.879271,484068018.766473
-0.109999,0.093516,-0.074205,0.099767,0.209804,0.417086,0.878674,484068018.781469
-0.114707,0.114073,-0.061486,0.088945,0.216235,0.417900,0.877890,484068018.797067
-0.068942,-0.005412,-0.022480,0.077071,0.225325,0.418572,0.876405,484068018.797453
0.101887,-0.208447,-0.393336,0.064167,0.236771,0.419639,0.873914,484068018.812944
0.238362,-0.249123,-0.713517,0.051323,0.246648,0.422184,0.870800,484068018.827786
0.067552,-0.284085,-0.846969,0.040664,0.253954,0.425905,0.867444,484068018.828031
-0.188963,-0.332663,-0.894489,0.032361,0.257220,0.429503,0.865054,484068018.843628
-0.323529,-0.315520,-0.851909,0.026216,0.256501,0.432016,0.864223,484068018.860250
-0.245294,-0.258382,-0.742561,0.021247,0.253068,0.433863,0.864447,484068018.860847
-0.233452,-0.224624,-0.722971,0.017280,0.248123,0.435249,0.865271,484068018.875784
-0.229927,-0.231896,-0.718756,0.014706,0.242519,0.436157,0.866450,484068018.891339
-0.252326,-0.245669,-0.678956,0.013532,0.236692,0.436621,0.867845,484068018.892226
-0.281880,-0.270101,-0.604584,0.013441,0.230723,0.436787,0.869370,484068018.907252
-0.303712,-0.244482,-0.427822,0.013954,0.224843,0.436908,0.870840,484068018.922978
-0.317970,-0.199830,-0.360356,0.014666,0.219275,0.436951,0.872226,484068018.923819
-0.317485,-0.187921,-0.348496,0.015598,0.214028,0.436681,0.873647,484068018.939088
-0.315317,-0.152371,-0.289004,0.016940,0.209022,0.435961,0.875192,484068018.954358
-0.300158,-0.151178,-0.264570,0.018704,0.204417,0.434725,0.876857,484068018.954751
-0.288299,-0.130979,-0.203083,0.020772,0.200492,0.433057,0.878541,484068018.969953
-0.261091,-0.170473,-0.199565,0.023487,0.197322,0.431332,0.880037,484068018.985696
-0.227730,-0.135684,-0.144014,0.026769,0.195198,0.429619,0.881254,484068018.986058
-0.236110,-0.132516,-0.124396,0.030705,0.193996,0.427962,0.882197,484068019.001705
-0.242468,-0.106472,-0.063074,0.034791,0.193724,0.426198,0.882959,484068019.017071
-0.212402,-0.092375,-0.025460,0.038602,0.194358,0.424366,0.883543,484068019.017553
-0.142002,-0.112690,-0.030537,0.042103,0.195409,0.422663,0.883968,484068019.032864
-0.115666,-0.103871,-0.041530,0.045364,0.196345,0.421200,0.884297,484068019.049299
-0.095721,-0.077818,-0.051430,0.048433,0.196754,0.420044,0.884593,484068019.049666
-0.098370,-0.042197,-0.055495,0.051211,0.196173,0.419004,0.885059,484068019.064240
-0.108816,-0.017836,-0.043912,0.053732,0.194302,0.417831,0.885877,484068019.080212
-0.104067,-0.008888,-0.022857,0.056116,0.191371,0.416558,0.886965,484068019.080677
-0.076463,-0.001340,0.003867,0.058328,0.187798,0.415265,0.888192,484068019.096061
-0.051734,0.018515,0.005598,0.060406,0.183861,0.414049,0.889444,484068019.112029
-0.025760,0.050396,0.010578,0.062439,0.179746,0.412831,0.890709,484068019.112388
-0.003926,0.103443,0.036906,0.064431,0.175677,0.411339,0.892069,484068019.127506
0.014613,0.157137,0.078749,0.066119,0.172233,0.409270,0.893567,484068019.143268
0.036533,0.203987,0.141227,0.067341,0.170115,0.406532,0.895130,484068019.143644
0.047016,0.223472,0.333681,0.067943,0.170356,0.403276,0.896511,484068019.158747
-0.104688,0.520640,0.328288,0.067865,0.173501,0.398821,0.897905,484068019.174568
0.056174,0.236765,0.307584,0.067549,0.179414,0.392304,0.899636,484068019.174927
0.168053,0.099759,0.323104,0.068392,0.187438,0.385316,0.900956,484068019.190174
0.161070,0.138688,0.478787,0.070124,0.196766,0.378742,0.901621,484068019.205987
0.165813,0.145932,0.595182,0.070728,0.206892,0.372900,0.901742,484068019.206486
0.132428,0.151087,0.552037,0.070007,0.216847,0.367480,0.901684,484068019.221858
0.055703,0.193208,0.518769,0.068484,0.225925,0.362063,0.901764,484068019.237497
-0.009380,0.260547,0.503789,0.066394,0.234585,0.356201,0.902044,484068019.237905
-0.055908,0.366329,0.486095,0.063969,0.243991,0.349112,0.902495,484068019.253237
-0.132842,0.426697,0.487054,0.061307,0.255595,0.339993,0.902949,484068019.269392
-0.133421,0.425211,0.603480,0.058523,0.270738,0.328957,0.902809,484068019.269803
-0.127910,0.416290,0.691726,0.055765,0.289978,0.316289,0.901534,484068019.284434
-0.160619,0.469136,0.764911,0.052887,0.313416,0.302255,0.898674,484068019.300669
-0.219615,0.553651,0.810233,0.049513,0.340643,0.286633,0.894065,484068019.301081
-0.273984,0.680477,0.825447,0.045403,0.371056,0.268735,0.887715,484068019.316144
-0.324607,0.813700,0.803320,0.040424,0.404155,0.247734,0.879575,484068019.331903
-0.354542,0.946419,0.746901,0.034676,0.439115,0.222844,0.869665,484068019.332261
-0.351320,1.015702,0.652264,0.028426,0.475082,0.193799,0.857864,484068019.347787
