ts,pos_x,pos_y,vel_x,vel_y,acc_x,acc_y,theta,mag_vel,K_curve
1462375218.03,0.0,0.0,0.0,0.0,-0.0208920632909,-0.00334858936657,0,0.0,0
1462375218.04,-0.0104460316454,-0.00167429468328,-0.0204742220251,-0.00328161757924,-0.0208920490312,-0.00334818681533,0,0.0207355439154,-0.000919198840117
1462375218.04,-0.0413662781861,-0.00663000567018,-0.0405389456351,-0.00649720830668,-0.0208921638162,-0.00334746894137,0,0.0410563007221,-0.000547340355761
1462375218.06,-0.0923513057293,-0.0148009484475,-0.0602024872623,-0.00964778370309,-0.0208924254222,-0.0033464874992,0,0.0609706421399,-0.000435600993343
1462375218.07,-0.163000005703,-0.0261219759002,-0.0794730144307,-0.0127343857782,-0.0208928448009,-0.00334506877326,0,0.0804867976991,-0.000412054788038
1462375218.07,-0.252919442534,-0.0405288960651,-0.098358542047,-0.0157578654605,-0.0208933117893,-0.00334320554657,0,0.0996128160303,-0.000405869024933
1462375218.09,-0.361724640475,-0.0579583642989,-0.11686681676,-0.0187190495869,-0.0208941847902,-0.00334052158885,0,0.118356477123,-0.000436170572054
1462375218.1,-0.48903854963,-0.0783476746802,-0.135005781519,-0.0216183797522,-0.0208954378215,-0.00333714278128,0,0.136725693952,-0.000466341683244
1462375218.1,-0.63449205006,-0.101634625823,-0.152783194953,-0.0244564120829,-0.0208974057502,-0.00333285740179,0,0.15472821576,-0.000505076256011
1462375218.12,-0.797723947888,-0.127757466607,-0.17020698869,-0.0272334840949,-0.0209009979627,-0.00332670138754,0,0.172371928268,-0.000581695477015
1462375218.14,-0.978381435559,-0.156654301396,-0.187285826919,-0.0299489817728,-0.0209062033599,-0.00331765118153,0,0.189665290641,-0.000699192129116
1462375218.14,-1.17612036416,-0.188262108759,-0.204028189674,-0.0326013002953,-0.0209097175241,-0.00330857303497,0,0.206616424716,-0.00075299508438
1462375218.15,-1.39060341259,-0.222517695572,-0.220439149054,-0.0351916758636,-0.0209135560778,-0.00329897932658,0,0.223230536633,-0.000787387143607
1462375218.17,-1.62149933969,-0.259358861099,-0.236525651029,-0.0377208420864,-0.0209170951928,-0.00329173461562,0,0.239514603986,-0.000759137496476
1462375218.17,-1.86848353831,-0.298725570493,-0.252293891297,-0.040192325168,-0.0209207379059,-0.00328474545177,0,0.255475303285,-0.000727581500069
1462375218.18,-2.13123779856,-0.340560268387,-0.267750336619,-0.0426075292074,-0.020924565549,-0.00327745507528,0,0.271119243701,-0.000702718771384
1462375218.2,-2.40945041796,-0.384806525132,-0.282901404125,-0.044967284597,-0.0209287974711,-0.00326947732159,0,0.28645289515,-0.000688002116505
1462375218.2,-2.70281622082,-0.43140854839,-0.297753597564,-0.0472720266802,-0.0209331037457,-0.00326107108301,0,0.301482751362,-0.000677117434672
1462375218.21,-3.01103637025,-0.480311110612,-0.312312967284,-0.049522435808,-0.020937011178,-0.00325235565583,0,0.316214897153,-0.000667288735431
1462375218.23,-3.33381784313,-0.531459724247,-0.326584978892,-0.0517192956345,-0.0209406299909,-0.00324350383566,0,0.330654856276,-0.000657098304875
1462375218.23,-3.67087313701,-0.5848007718,-0.340575096705,-0.0538635434808,-0.020944280075,-0.00323446910634,0,0.344808175385,-0.000647722977092
1462375218.25,-4.02192037376,-0.640281549834,-0.354288989245,-0.0559560523354,-0.0209486005555,-0.00322524617825,0,0.358680592858,-0.000639979399726
1462375218.26,-4.38668366328,-0.697850225258,-0.367732838004,-0.0579976725434,-0.0209532266375,-0.00321553227232,0,0.372278350387,-0.000635369545303
1462375218.26,-4.7648931146,-0.757455663938,-0.380912343349,-0.0599889407194,-0.02095793933,-0.00320519150069,0,0.38560716581,-0.000633928313888
